name,tag,sum_cards_earned,win_ratio,unplayed_battles,battles_dict_0_created_date,battles_dict_0_cards_earned,battles_dict_0_battles_played,battles_dict_0_wins,battles_dict_1_created_date,battles_dict_1_cards_earned,battles_dict_1_battles_played,battles_dict_1_wins,battles_dict_2_created_date,battles_dict_2_cards_earned,battles_dict_2_battles_played,battles_dict_2_wins,battles_dict_3_created_date,battles_dict_3_cards_earned,battles_dict_3_battles_played,battles_dict_3_wins,battles_dict_4_created_date,battles_dict_4_cards_earned,battles_dict_4_battles_played,battles_dict_4_wins,battles_dict_5_created_date,battles_dict_5_cards_earned,battles_dict_5_battles_played,battles_dict_5_wins,battles_dict_6_created_date,battles_dict_6_cards_earned,battles_dict_6_battles_played,battles_dict_6_wins,battles_dict_7_created_date,battles_dict_7_cards_earned,battles_dict_7_battles_played,battles_dict_7_wins,battles_dict_8_created_date,battles_dict_8_cards_earned,battles_dict_8_battles_played,battles_dict_8_wins,battles_dict_9_created_date,battles_dict_9_cards_earned,battles_dict_9_battles_played,battles_dict_9_wins
Alejandro,QJYU2G9P,3300.0,0.8333333333333334,1,20180918T020110.000Z,750,1,1,,,,,20180914T003101.000Z,450,1,1,,,,,,,,,,,,,20180905T212231.000Z,900,1,1,,,,,20180901T203611.000Z,450,0,0,20180830T194223.000Z,750,2,2
Alex,2L29CGL8J,520.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180903T211717.000Z,520,1,0,,,,,,,,
bones,GRGQGVV2,5860.0,0.6,0,20180918T020110.000Z,640,1,0,20180916T004659.000Z,800,1,1,20180914T003101.000Z,640,1,0,20180911T235914.000Z,610,1,1,20180909T235640.000Z,450,1,0,20180907T212805.000Z,640,1,1,20180905T212231.000Z,640,1,1,20180903T211717.000Z,480,1,1,20180901T203611.000Z,160,1,0,20180830T194223.000Z,800,1,1
BroTherRifles,8PC8LQVPP,4340.0,0.5,2,20180918T020110.000Z,700,1,0,,,,,20180914T003101.000Z,700,2,2,20180911T235914.000Z,140,1,1,,,,,,,,,20180905T212231.000Z,840,1,0,20180903T211717.000Z,560,1,1,20180901T203611.000Z,560,0,0,20180830T194223.000Z,840,0,0
BulldogRocha,90G9P2RUC,140.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180901T203611.000Z,140,0,0,,,,
ButterGabe,YL0RRPG,1950.0,0.75,0,,,,,,,,,,,,,,,,,,,,,20180907T212805.000Z,260,1,0,20180905T212231.000Z,780,1,1,20180903T211717.000Z,520,1,1,,,,,20180830T194223.000Z,390,1,1
COMETBIASTER,8U2CCL8R,600.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,20180905T212231.000Z,200,0,0,20180903T211717.000Z,400,0,0,,,,,,,,
Dirty Sanchez,92L8Q9JG,5120.0,0.5,0,20180918T020110.000Z,450,1,0,20180916T004659.000Z,640,1,0,20180914T003101.000Z,800,2,1,20180911T235914.000Z,460,1,0,20180909T235640.000Z,600,1,1,20180907T212805.000Z,700,1,0,20180905T212231.000Z,420,1,1,,,,,20180901T203611.000Z,450,1,1,20180830T194223.000Z,600,1,1
dragotooth63,9Q0GVU09Q,1320.0,0.25,2,20180918T020110.000Z,360,0,0,,,,,,,,,,,,,,,,,,,,,20180905T212231.000Z,600,0,0,20180903T211717.000Z,360,2,1,,,,,,,,
DrCool,9PRPV8JQ,520.0,0.0,2,,,,,,,,,20180914T003101.000Z,260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20180830T194223.000Z,260,0,0
DrGilness,Y0G8QC,4800.0,0.75,0,20180918T020110.000Z,480,1,0,20180916T004659.000Z,800,1,1,20180914T003101.000Z,800,1,1,,,,,20180909T235640.000Z,640,1,1,20180907T212805.000Z,640,1,0,20180905T212231.000Z,640,1,1,20180903T211717.000Z,160,1,1,20180901T203611.000Z,640,1,1,,,,
Easy as it is,9QJLC8GRQ,80.0,0.0,1,,,,,20180916T004659.000Z,80,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el duran,9JQYYQULL,300.0,0.0,0,,,,,,,,,20180914T003101.000Z,300,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fireblaze,GGPVU2GU,360.0,0.0,1,20180918T020110.000Z,360,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamer,89Q809LYP,480.0,0.0,1,,,,,,,,,,,,,,,,,20180909T235640.000Z,480,0,0,,,,,,,,,,,,,,,,,,,,
gsxrwarrior,80VR0V99,6880.0,0.6923076923076923,0,20180918T020110.000Z,640,1,1,20180916T004659.000Z,640,2,1,20180914T003101.000Z,640,1,0,20180911T235914.000Z,640,1,0,20180909T235640.000Z,640,1,1,20180907T212805.000Z,640,1,1,20180905T212231.000Z,640,2,2,20180903T211717.000Z,960,2,2,20180901T203611.000Z,800,1,1,20180830T194223.000Z,640,1,0
Guljy,2P9P0YRLL,280.0,0.0,1,,,,,,,,,,,,,20180911T235914.000Z,280,0,0,,,,,,,,,,,,,,,,,,,,,,,,
hekrazy,GQG9QLR2,3980.0,0.3333333333333333,1,20180918T020110.000Z,800,1,0,20180916T004659.000Z,640,1,0,20180914T003101.000Z,320,1,1,20180911T235914.000Z,960,1,1,20180909T235640.000Z,960,0,0,,,,,,,,,20180903T211717.000Z,300,1,0,,,,,,,,
insan3 Straws,2YULPLQQG,600.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180830T194223.000Z,600,1,0
